redshift,name
,4FGL_J0108.1-0039
,4FGL_J0108.6+0134
2.025,4FGL_J0109.1+1815
0.318,4FGL_J0109.3+2401
,4FGL_J0109.7+6133
0.163,4FGL_J0110.0-5246
0.895,4FGL_J0110.0-4019
,4FGL_J0110.1+6805
,4FGL_J0110.2+4151
1.003,4FGL_J0110.3-0431
,4FGL_J0110.7-1254
0.2,4FGL_J0110.9+4344
,4FGL_J0111.4+0534
,4FGL_J0111.5-2546
0.393,4FGL_J0112.0+3442
,4FGL_J0112.0-6634
0.459,4FGL_J0112.1+2245
,4FGL_J0112.1-0321
,4FGL_J0112.5-0651
,4FGL_J0112.6-3158
,4FGL_J0112.8-7506
,4FGL_J0112.8+3208
,4FGL_J0113.1-3553
,4FGL_J0113.4+4948
0.288,4FGL_J0113.7+0225
,4FGL_J0114.0+6418
0.33,4FGL_J0114.8+1326
,4FGL_J0114.9-3400
0.607,4FGL_J0115.1+2622
0.085,4FGL_J0115.1-0129
2.367,4FGL_J0115.4-2917
1.715,4FGL_J0115.6+0356
,4FGL_J0115.8+2519
,4FGL_J0116.0-1136
0.128,4FGL_J0116.0-2745
,4FGL_J0116.2-6153
1.62,4FGL_J0116.5-2812
0.43,4FGL_J0116.5-3046
0.944,4FGL_J0116.8+6914
,4FGL_J0117.5-2442
0.698,4FGL_J0117.8-2109
0.444,4FGL_J0117.9+1430
1.49,4FGL_J0118.3-6008
0.042109,4FGL_J0118.7-0848
,4FGL_J0118.9-2141
1.425,4FGL_J0119.0-1458
,4FGL_J0119.4-5354
,4FGL_J0119.6+4158
0.511,4FGL_J0119.9+4053
,4FGL_J0120.1+0505
2.69,4FGL_J0120.2-7944
,4FGL_J0120.4-2701
,4FGL_J0121.7+5153
,4FGL_J0121.8+1147
,4FGL_J0121.8-3916
2.605,4FGL_J0122.1-3004
,4FGL_J0122.4+1034
,4FGL_J0123.1+3421
,4FGL_J0123.7+4209
1.571,4FGL_J0123.7-2311
0.457,4FGL_J0124.0+3035
0.428203,4FGL_J0124.8-0625
0.3028,4FGL_J0125.3+6820
,4FGL_J0125.3-5112
,4FGL_J0125.3-2548
2.464,4FGL_J0125.4+3200
2.115,4FGL_J0125.7-0015
1.019,4FGL_J0125.8-6348
0.031989,4FGL_J0125.8+2605
0.765,4FGL_J0125.9-6303
2.065,4FGL_J0126.0-2221
0.2087,4FGL_J0126.3-6746
0.139,4FGL_J0126.5-1553
,4FGL_J0126.8+2412
,4FGL_J0127.1+3310
,4FGL_J0127.2-0819
,4FGL_J0127.2+0324
,4FGL_J0127.3-0148
0.66,4FGL_J0127.4-4813
0.467,4FGL_J0127.9+4857
0.359792,4FGL_J0127.9+1737c
,4FGL_J0128.1+7542
0.411,4FGL_J0128.2-1722
,4FGL_J0128.2+4400
0.021592,4FGL_J0128.3+5710
1.206,4FGL_J0128.4+2614
0.2,4FGL_J0128.5+4440
,4FGL_J0128.8-4626
0.233,4FGL_J0129.0+6312
0.94,4FGL_J0129.7+3436
0.584,4FGL_J0129.8+1440
,4FGL_J0130.4-2129
,4FGL_J0130.6+1844
0.978,4FGL_J0131.1+6120
,4FGL_J0131.2+5547
,4FGL_J0131.7-5346
,4FGL_J0132.1-0956
2.68,4FGL_J0132.7-1654
0.551,4FGL_J0132.7-0804
1.805,4FGL_J0132.8-4413
,4FGL_J0132.8+4324
0.265,4FGL_J0132.9-4259
,4FGL_J0133.0+5931
,4FGL_J0133.1-5201
,4FGL_J0133.2-4533
2.243,4FGL_J0133.7-3409
1.385,4FGL_J0133.7-5527
,4FGL_J0134.3-3842
,4FGL_J0134.5+2637
,4FGL_J0135.0+5338
1.1003,4FGL_J0135.1+0255
,4FGL_J0136.2-4708
1.373,4FGL_J0136.5+3906
1.419,4FGL_J0136.8+2032
1.122,4FGL_J0137.0+4751
0.539,4FGL_J0137.3-3239
1.479987,4FGL_J0137.6-2430
0.859,4FGL_J0137.9+5814
0.680821,4FGL_J0138.0+2247
0.4,4FGL_J0138.5+0300
,4FGL_J0138.5-4613
1.391,4FGL_J0138.6+2923
,4FGL_J0138.6+6821
0.893,4FGL_J0139.0+2601
0.545,4FGL_J0139.2-1705
,4FGL_J0139.5-2228
,4FGL_J0140.3+7054
,4FGL_J0140.4+5114
,4FGL_J0140.5-4730
0.823,4FGL_J0140.6-0758
,4FGL_J0140.6+8736
,4FGL_J0141.4-0928
1.115,4FGL_J0142.5+6650
0.196,4FGL_J0142.7-0543
0.266,4FGL_J0143.1-3622
,4FGL_J0143.3-0119
1.351,4FGL_J0143.5-3156
0.7,4FGL_J0143.7-5846
0.511,4FGL_J0143.8+4947
,4FGL_J0144.3+5959
0.311,4FGL_J0144.6+2705
0.02889,4FGL_J0145.0-2732
,4FGL_J0145.9+2319
0.029,4FGL_J0146.0-6746
0.863,4FGL_J0146.3+4606
,4FGL_J0146.9-5202
,4FGL_J0147.6+1547
1.479,4FGL_J0147.6-6028
,4FGL_J0147.6-0825
,4FGL_J0147.7-1321
,4FGL_J0148.2+5201
0.945,4FGL_J0148.6+0127
,4FGL_J0149.6-0734
0.06711,4FGL_J0150.4+4848
,4FGL_J0150.5-3337
0.664,4FGL_J0150.6-5448
0.071516,4FGL_J0150.9+1230
0.136,4FGL_J0151.0+0539
0.62,4FGL_J0151.3+8601
,4FGL_J0151.4-3607
0.636,4FGL_J0151.7+5455
,4FGL_J0152.2+3714
,4FGL_J0152.2+2206
1.565,4FGL_J0152.6+0147
,4FGL_J0152.9-1109
,4FGL_J0153.0+7517
0.372,4FGL_J0153.3+5416
0.443,4FGL_J0153.3-1845
0.01894,4FGL_J0153.4+7114
,4FGL_J0153.5-5107
1.166,4FGL_J0153.9+0823
0.076106,4FGL_J0154.3-0236
,4FGL_J0154.5-6604
,4FGL_J0154.6+0051
0.018,4FGL_J0155.0+4433
0.19,4FGL_J0155.4-0625
,4FGL_J0155.7+6642
,4FGL_J0156.1+1502
0.005871,4FGL_J0156.3-2420
,4FGL_J0156.5+3914
2.075,4FGL_J0156.6-1758
,4FGL_J0156.8-4744
0.061,4FGL_J0156.9-5301
,4FGL_J0156.9+4648
1.161,4FGL_J0156.9-3235
,4FGL_J0157.7-4614
0.060235,4FGL_J0158.2+2515
0.291,4FGL_J0158.4+1230
2.066,4FGL_J0158.5-5005
,4FGL_J0158.5+0549
0.147,4FGL_J0158.5-3932
,4FGL_J0158.8+0101
,4FGL_J0159.0-4255
,4FGL_J0159.0+3313
,4FGL_J0159.3-4523
,4FGL_J0159.5+1046
0.066579,4FGL_J0159.7-2740
,4FGL_J0159.8-2234
0.207,4FGL_J0200.3-4109
,4FGL_J0200.6-6637
,4FGL_J0201.1+0036
0.4,4FGL_J0201.1-4347
,4FGL_J0202.1+3939
,4FGL_J0202.3-0605
,4FGL_J0202.4+0849
1.445,4FGL_J0202.4+2943
0.020591,4FGL_J0202.6-0258
,4FGL_J0202.7+4204
1.259,4FGL_J0202.7+3133
0.161792,4FGL_J0202.9-0225
1.537,4FGL_J0203.3-2507
3.442,4FGL_J0203.6+7233
0.251,4FGL_J0203.7+3042
,4FGL_J0203.9+5411
,4FGL_J0203.9+8120
,4FGL_J0204.0-3334
0.0655,4FGL_J0204.1-2919
0.85,4FGL_J0204.3-3140
,4FGL_J0204.3+2417
0.233,4FGL_J0204.7+6656
,4FGL_J0204.8+1513
0.945,4FGL_J0205.0-1700
,4FGL_J0205.2+3212
1.419,4FGL_J0205.7+6449
,4FGL_J0206.0-0958
1.484,4FGL_J0206.4-1151
,4FGL_J0206.4+3829
,4FGL_J0206.8-5744
0.103645,4FGL_J0207.2-1832
,4FGL_J0207.4-3855
0.991,4FGL_J0207.5-1049
,4FGL_J0207.5-2402
,4FGL_J0207.9+2203
0.188,4FGL_J0207.9+0953
2.944,4FGL_J0208.3-6838
,4FGL_J0208.5-0046
,4FGL_J0208.6+3523
,4FGL_J0209.3+4449
,4FGL_J0209.3-5228
,4FGL_J0209.7+6437
0.087,4FGL_J0209.8+2626
0.0694,4FGL_J0209.9+7229
,4FGL_J0210.1+2518
,4FGL_J0210.5-1445
,4FGL_J0210.7-5101
,4FGL_J0211.1-0646
0.643,4FGL_J0211.2+1051
1.484,4FGL_J0211.5+6219
,4FGL_J0212.1+5321
,4FGL_J0212.2-2559
,4FGL_J0212.2-0219
0.047516,4FGL_J0212.4-3502
,4FGL_J0212.8-2721
,4FGL_J0212.9+2244
0.65,4FGL_J0213.8-6949
,4FGL_J0214.1-4733
,4FGL_J0214.2-7025
,4FGL_J0214.3+5145
,4FGL_J0214.4-5822
0.306,4FGL_J0214.6-4333
0.834,4FGL_J0214.8-6150
,4FGL_J0214.9-3722
1.92,4FGL_J0215.0-5330
,4FGL_J0215.2-1619
1.288,4FGL_J0215.3+7555
2.109,4FGL_J0215.9+0521
0.598,4FGL_J0215.9+0300
1.417,4FGL_J0216.5+2313
,4FGL_J0216.6-1015
,4FGL_J0216.8-6635
0.571,4FGL_J0216.8+0510
,4FGL_J0217.0-0821
1.285,4FGL_J0217.2+0837
1.133,4FGL_J0217.4+7352
,4FGL_J0217.8+0144
,4FGL_J0218.1+4232
,4FGL_J0218.7+2640
1.024,4FGL_J0218.9-2305
,4FGL_J0218.9+3643
,4FGL_J0219.0+2443
0.398,4FGL_J0219.1-1724
1.536,4FGL_J0219.5+0724
0.287,4FGL_J0220.1+1155
,4FGL_J0220.2+3246
,4FGL_J0220.8-0841
,4FGL_J0221.1+3556
,4FGL_J0221.2-1312
,4FGL_J0221.4+6241e
0.242,4FGL_J0221.5+2513
0.512,4FGL_J0221.8+3730
2.277,4FGL_J0222.0-1616
,4FGL_J0222.4+6156e
0.916,4FGL_J0222.6+4302
0.268,4FGL_J0222.7+5016
0.39,4FGL_J0222.8-0133
,4FGL_J0223.0-3447
,4FGL_J0223.0+6821
1.11,4FGL_J0223.1-1117
,4FGL_J0223.2-1653
0.51,4FGL_J0223.5+5415
1.423,4FGL_J0223.5+3912
,4FGL_J0223.5-0928
,4FGL_J0223.7+3158
0.516,4FGL_J0224.0-7941
,4FGL_J0224.0-1850
,4FGL_J0224.2+0700
,4FGL_J0224.2+1616
0.033,4FGL_J0224.8+2937
,4FGL_J0224.9+1843
0.93,4FGL_J0225.1-2604
0.97,4FGL_J0225.5-5530
,4FGL_J0225.5-5618
0.928,4FGL_J0225.6-4502
,4FGL_J0225.8+1310
,4FGL_J0226.3-1845
,4FGL_J0226.5+0938
,4FGL_J0226.5-4441
,4FGL_J0226.6-0553
,4FGL_J0226.7+2312
1.276,4FGL_J0226.9+7744
,4FGL_J0227.0-1739
2.017,4FGL_J0227.2+3928
,4FGL_J0227.3+0201
,4FGL_J0227.8+2246
,4FGL_J0228.0-3026
0.6,4FGL_J0228.1+8208
2.852,4FGL_J0228.2-3102
,4FGL_J0228.3-5547
,4FGL_J0228.5-2234
0.109,4FGL_J0228.7+6718
0.449,4FGL_J0229.5-3644
,4FGL_J0230.0-5236
,4FGL_J0230.3+1713
0.39,4FGL_J0230.4-1140
,4FGL_J0230.8+4032
0.097,4FGL_J0231.0+3505
,4FGL_J0231.2-5754
,4FGL_J0231.2-4745
0.32,4FGL_J0231.8+1322
2.153,4FGL_J0232.5-1118
0.781,4FGL_J0232.8+2018
0.205,4FGL_J0232.9+2608
0.444,4FGL_J0233.0+3740
,4FGL_J0233.5+0654
,4FGL_J0233.9+8041
,4FGL_J0234.3-0628
0.602,4FGL_J0235.3+5650
2.564,4FGL_J0235.6-2939
,4FGL_J0236.8-6136
0.858,4FGL_J0237.1-0714
,4FGL_J0237.3+2000
,4FGL_J0237.6-3602
0.865,4FGL_J0237.6+0923
0.405,4FGL_J0237.7+0206
1.003,4FGL_J0237.8+5238
,4FGL_J0237.8+2848
,4FGL_J0238.1-3905
,4FGL_J0238.1-2621
,4FGL_J0238.2+1531
2.291,4FGL_J0238.4-3116
1.106,4FGL_J0238.6+1637
,4FGL_J0238.7+2555
,4FGL_J0239.1+6634
1.037,4FGL_J0239.5+1326
0.57,4FGL_J0239.5-1353
0.954,4FGL_J0239.7+0415
0.0272,4FGL_J0240.2-0248
,4FGL_J0240.5+6113
,4FGL_J0240.6+3528
1.481,4FGL_J0240.8-3401
0.182,4FGL_J0241.0-0505
,4FGL_J0241.3+6543
,4FGL_J0241.9-1603
,4FGL_J0242.3+1102
,4FGL_J0242.3+5216
0.26,4FGL_J0242.6+1735
,4FGL_J0242.6-0000
1.089,4FGL_J0242.9+0045
0.416,4FGL_J0243.1-4218
1.88,4FGL_J0243.2-0550
,4FGL_J0243.4+7119
,4FGL_J0243.7+0321
0.621,4FGL_J0244.6-5819
0.3365,4FGL_J0244.7+1316
1.34,4FGL_J0245.0+4755
0.304,4FGL_J0245.1-0257
,4FGL_J0245.4-5950
0.416,4FGL_J0245.4+2408
,4FGL_J0245.5-4502
0.000927,4FGL_J0245.9-4650
,4FGL_J0246.0-4838
,4FGL_J0246.6-3348
0.194,4FGL_J0248.0+2232
,4FGL_J0248.4+6021
,4FGL_J0248.6+4230
0.251,4FGL_J0248.6+5131
1.3,4FGL_J0249.2+1652
0.328,4FGL_J0249.7+4500
,4FGL_J0250.2-8224
,4FGL_J0250.3-3422
0.035058,4FGL_J0250.6+1712
0.759,4FGL_J0250.6+8435
0.347,4FGL_J0250.7+5630
1.496474,4FGL_J0251.0+2605
,4FGL_J0251.1-1830
0.056,4FGL_J0251.4+4646
1.479,4FGL_J0251.5-5958
,4FGL_J0251.6+0628
,4FGL_J0252.0-3657
1.2,4FGL_J0252.3-2707
,4FGL_J0252.8-2219
1.3,4FGL_J0252.9+3834
,4FGL_J0253.2-5441
1.13,4FGL_J0253.2-0124
,4FGL_J0253.3+5132
,4FGL_J0253.5+3216
,4FGL_J0253.9+5103
0.685,4FGL_J0254.5-7511
2.07,4FGL_J0255.8+0534
,4FGL_J0256.2-0408
1.254,4FGL_J0256.3+0334
,4FGL_J0257.0+3358
0.774,4FGL_J0257.8+7044
,4FGL_J0257.9-1215
,4FGL_J0258.1+2030
,4FGL_J0259.0+0552
1.668,4FGL_J0259.3+5453
,4FGL_J0259.4+0308
0.684,4FGL_J0259.4+0746
0.34,4FGL_J0259.5+1924
,4FGL_J0259.5-1705
1.55,4FGL_J0300.0-5908
0.44,4FGL_J0300.4+3450
0.892,4FGL_J0301.0-1652
3.104,4FGL_J0301.2+2546
,4FGL_J0301.4-3124
1.185,4FGL_J0301.6-7155
,4FGL_J0301.6-5617
0.000927,4FGL_J0301.9-2731
0.838,4FGL_J0302.5+3354
,4FGL_J0302.7+5717
0.273,4FGL_J0303.2+3149
,4FGL_J0303.2+5336
0.28,4FGL_J0303.3-7913
2.001,4FGL_J0303.3+0555
0.069,4FGL_J0303.4-2407
,4FGL_J0303.4-5232
,4FGL_J0303.6+4716
,4FGL_J0303.6+6711c
,4FGL_J0303.6-6211
,4FGL_J0304.4-2833
,4FGL_J0304.5+3349
,4FGL_J0304.5+6821
,4FGL_J0304.5-0054
0.302,4FGL_J0304.6+6554
,4FGL_J0304.9-0606
,4FGL_J0305.1-1608
,4FGL_J0305.4+5945c
1.661,4FGL_J0307.4+4915
2.409,4FGL_J0307.8-0419
0.000927,4FGL_J0307.8+7443
,4FGL_J0308.1-2852
1.216,4FGL_J0308.4+0407
0.052,4FGL_J0308.9-4702
,4FGL_J0309.0+1029
,4FGL_J0309.4-4000
,4FGL_J0309.7-0745
0.37,4FGL_J0309.9-6941
,4FGL_J0309.9-6058
1.136,4FGL_J0310.6-5017
,4FGL_J0310.8-1041
0.029771,4FGL_J0310.9-3458
,4FGL_J0310.9+3815
0.275,4FGL_J0311.2+6856
,4FGL_J0311.3+2940
1.97,4FGL_J0311.5-4402
0.87,4FGL_J0311.6+4134
1.1,4FGL_J0312.1-0921
1.094,4FGL_J0312.4-3221
,4FGL_J0312.5-2221
1.926,4FGL_J0312.7+2012
,4FGL_J0312.8+0134
,4FGL_J0312.9+3614
1.773,4FGL_J0312.9+4119
,4FGL_J0313.0+0229
,4FGL_J0314.1+2827
0.873,4FGL_J0314.1+5033
,4FGL_J0314.2+2419
,4FGL_J0314.3+0620
,4FGL_J0314.3-5103
,4FGL_J0314.4-4805
,4FGL_J0314.6-6549
,4FGL_J0315.4-2643
,4FGL_J0315.5+4231
0.098,4FGL_J0315.9-1033
0.3,4FGL_J0316.0-5626
